P238510,P239467,Genetic,0.252653076.
P235550,P239467,Physical,0.709247942.
P235621,P239467,Physical,-0.001238791.
P235265,P239467,Physical,0.482255315.
P234935,P234445,Physical,-0.460856268.
P235463,P234446,Physical,0.348400604.
P237261,P234448,Physical,0.781916771.
P234141,P234458,Physical,-0.083439331.
P235158,P234465,Physical,0.41580597.
P234074,P234465,Genetic-Physical,0.389148002.
P234416,P234468,Physical,0.225232063.
P236121,P239420,Physical,0.368532626.
P237021,P234486,Physical,-0.477888264.
P237892,P239393,Physical,0.853377001.
P235439,P234505,Genetic,0.773754807.
P234980,P234505,Genetic,-0.081544575.
P235014,P239392,Genetic,0.555051997.
P235439,P234513,Physical,0.135871047.
P239341,P239341,Physical,1
P238024,P239341,Physical,-0.21832131.
P236147,P239341,Physical,0.350306556.
P238715,P234522,Genetic,-0.074017981.
P234202,P234522,Physical,0.081133204.
P234103,P234529,Genetic,0.538658973.
P234334,P239316,Genetic,0.222061914.
P235358,P234533,Physical,-0.466140745.
P234141,P234533,Physical,0.564706878.
P234906,P234533,Physical,0.574722715.
P234191,P234533,Physical,-0.32915143.
P234953,P234533,Physical,0.848738759.
P239523,P239294,Physical,?.
P238621,P239294,Physical,?.
P236068,P239294,Physical,?.
P234967,P234538,Physical,0.603754292.
P234830,P234542,Genetic,0.258710106.
P234850,P234549,Genetic,0.671832167.
P234849,P234549,Genetic,0.498144529.
P235350,P234549,Physical,0.512941182.
P235649,P234549,Physical,0.434735933.
P237598,P234553,Genetic-Physical,0.628306536.
P234964,P234554,Genetic,0.287834569.
P234418,P234564,Physical,-0.410653605.
P237598,P234572,Genetic,0.307086625.
P234553,P234572,Genetic,0.89825121.
P234681,P234586,Physical,0.290315206.
P234586,P234586,Physical,1
P234926,P234591,Physical,-0.301378981.
P234659,P234594,Genetic,-0.717091933.
P239178,P239178,Genetic,1
P234194,P239123,Physical,0.640012496.
P239101,P239101,Physical,1
P237743,P239063,Physical,-0.637476722.
P234562,P234636,Genetic,-0.362514673.
P234513,P234640,Genetic,0.041167317.
P235630,P239048,Physical,-0.77404057.
P239048,P239048,Physical,1
P234074,P234642,Genetic,0.700201543.
P239008,P234644,Physical,0.061045493.
P240410,P239017,Physical,0.285031304.
P239010,P239010,Genetic-Physical,1
P234285,P234656,Physical,0.293070431.
P235485,P234659,Physical,-0.545869278.
P234659,P234659,Genetic-Physical,1
P237803,P234677,Genetic,-0.484879782.
P234681,P234681,Physical,1
P234334,P234684,Genetic,0.567936255.
