Key,Label
P234062,2
P234081,1
P234086,2
P234087,0
P234094,0
P234097,0
P234112,2
P234120,4
P234125,3
P234137,1
P234140,0
P234147,0
P234161,1
P234175,0
P234179,0
P234181,0
P234189,0
P234199,0
P234203,0
P234213,3
P234215,1
P234216,0
P234226,3
P234231,1
P234247,3
P234249,0
P234256,1
P234258,1
P234267,1
P234268,3
P234273,1
P234283,0
P234289,0
P234298,3
P234299,0
P234314,0
P234333,2
P234339,1
P234364,1
P234365,3
P234372,3
P234373,0
P234385,1
P234389,0
P234394,3
P234405,0
P234411,3
P234412,0
P234414,0
P234419,3
P234423,3
P234433,3
P234442,3
P234470,1
P234485,3
P234490,0
P234511,0
P234515,3
P234521,3
P234531,3
P234534,2
P234565,5
P234570,0
P234573,5
P234579,3
P234590,0
P234592,0
P234612,0
P234615,8
P234617,3
P234618,0
P234633,1
P234641,0
P234645,3
P234651,6
P234653,0
P234671,3
P234679,1
P234683,3
P234688,0
P234698,3
P234701,1
P234704,3
P234711,3
P234728,1
P234739,1
P234741,1
P234742,3
P234743,1
P234750,1
P234758,5
P234773,3
P234780,0
P234785,3
P234790,0
P234791,1
P234794,3
P234798,0
P234802,3
P234806,4
P234813,1
P234834,3
P234837,3
P234847,3
P234861,3
P234881,3
P234905,1
P234922,0
P234927,0
P234940,1
P234945,0
P234951,3
P234958,0
P234965,0
P234971,1
P234974,0
P234977,3
P234992,3
P235001,3
P235033,3
P235050,0
P235051,1
P235055,0
P235069,0
P235081,7
P235082,0
P235094,1
P235096,0
P235097,1
P235098,0
P235104,1
P235106,0
P235108,0
P235109,0
P235110,0
P235111,1
P235112,3
P235118,6
P235121,3
P235149,0
P235150,2
P235160,0
P235166,0
P235176,1
P235179,0
P235183,3
P235186,0
P235208,1
P235215,0
P235220,3
P235223,3
P235224,5
P235232,1
P235233,0
P235236,0
P235237,0
P235255,1
P235256,3
P235268,0
P235275,2
P235276,1
P235284,1
P235291,3
P235299,1
P235305,0
P235311,0
P235315,0
P235318,1
P235319,0
P235325,0
P235328,0
P235337,0
P235339,0
P235352,0
P235353,3
P235354,0
P235356,3
P235362,0
P235367,3
P235369,0
P235376,1
P235377,3
P235385,8
P235387,3
P235389,3
P235392,3
P235393,3
P235402,3
P235405,0
P235414,0
P235423,1
P235424,6
P235440,3
P235446,3
P235454,4
P235466,1
P235476,3
P235487,0
P235488,3
P235493,1
P235503,3
P235505,0
P235507,0
P235511,3
P235517,3
P235520,0
P235524,3
P235533,0
P235537,1
P235538,3
P235541,3
P235547,3
P235562,0
P235565,0
P235567,0
P235569,0
P235571,1
P235576,5
P235587,0
P235589,1
P235595,1
P235596,0
P235602,3
P235605,3
P235612,0
P235635,0
P235638,6
P235646,3
P235668,1
P235673,0
P235679,0
P235685,6
P235695,0
P235704,3
P235705,0
P235709,0
P235719,1
P235746,0
P235748,0
P235752,3
P235761,3
P235767,2
P235770,1
P235775,0
P235777,0
P235778,3
P235783,0
P235794,0
P235795,0
P235804,9
P235818,0
P235831,3
P235848,3
P235855,0
P235857,1
P235860,0
P235875,0
P235878,7
P235882,8
P235888,0
P235893,0
P235898,0
P235900,0
P235901,3
P235904,0
P235908,3
P235909,0
P235916,0
P235917,0
P235928,0
P235931,8
P235933,3
P236021,0
P236066,2
P236099,3
P236279,3
P236380,3
P236523,3
P236606,0
P236661,3
P236736,1
P236758,3
P236771,3
P236812,3
P236813,0
P236831,3
P236838,3
P236919,3
P236955,3
P236985,3
P237026,3
P237043,1
P237059,1
P237100,3
P237116,3
P237124,1
P237126,1
P237153,3
P237154,1
P237196,0
P237321,0
P237337,1
P237358,0
P237375,3
P237387,3
P237392,3
P237406,3
P237429,3
P237436,3
P237529,0
P237587,0
P237656,3
P237670,1
P237700,3
P237728,3
P237747,3
P237986,1
P238048,3
P238063,3
P238132,3
P238147,3
P238170,0
P238375,1
P238400,3
P238429,1
P238447,1
P238584,3
P238609,3
P238615,0
P238662,0
P238723,0
P238783,0
P238800,1
P238809,3
P238856,0
P238898,1
P238905,1
P238920,0
P239060,0
P239162,3
P239167,3
P239273,0
P239304,3
P239343,1
P239364,3
P239399,1
P239517,3
P239520,1
P239572,3
P239574,0
P239588,3
P239593,1
P239664,3
P239681,3
P239825,3
P239830,3
P239835,1
P239847,3
P239856,3
P239911,3
P239913,3
P239922,3
P239938,3
P239971,3
P239974,1
P240040,1
P240057,1
P240072,3
P240185,2
P240200,1
P240227,0
P240237,3
P240291,3
P240296,5
P240327,3
P240373,1
P240380,3
P240407,2
P240440,1
P240462,2
P240492,3
