Key,Label
P234273,1
P234490,0
P236380,0
P234394,3
P234385,0
P234365,1
P235818,0
P235319,0
P234573,5
P236758,2
P234364,1
P238800,5
P234247,0
P237124,1
P235916,0
P235909,0
P235001,2
P235488,0
P235268,0
P235748,0
P234189,0
P236813,0
P234485,3
P235354,0
P235389,6
P235233,0
P234791,1
P235538,0
P236279,1
P237321,0
P235888,0
P235367,6
P235855,0
P235097,0
P235746,0
P234704,2
P235094,2
P234433,1
P235081,7
P239304,1
P238662,0
P234612,0
P235908,0
P235236,0
P237392,0
P237587,4
P234267,1
P235878,9
P239938,2
P234773,0
P238132,7
P234147,0
P235224,5
P235783,0
P234470,1
P234199,0
P234268,1
P234213,6
P234671,3
P234081,2
P236812,0
P235369,1
P235055,0
P235547,3
P239835,4
P240373,0
P237387,0
P235356,5
P234847,3
P234531,0
P235612,0
P235831,5
P235305,0
P235387,1
P234412,0
P235605,3
P234790,1
P239974,1
P235109,0
P234711,0
P235778,3
P235339,0
P234739,1
P235635,0
P235098,0
P234414,0
P234339,2
P234515,0
P235223,3
P234112,2
P235562,0
P239273,0
P236838,5
P235337,0
P237196,1
P235507,3
P236066,2
P235901,3
P235121,2
P235770,0
P234798,0
P237100,0
P234940,1
P235794,0
P234785,3
P237747,1
P237429,1
P235440,0
P238063,0
P239825,2
P235638,6
P238723,0
P234521,3
P234120,1
P235215,0
P238809,0
P234333,1
P234249,0
P236523,0
P239856,2
P234958,0
P235325,0
P234283,4
P234653,0
P239913,1
P234419,0
P240057,0
P236021,1
P239588,2
P234423,6
P235533,0
P234905,1
P235050,0
P235576,5
P234698,4
P235503,3
P237406,3
P240407,2
P234701,2
P235376,1
P234974,0
P235882,1
P240296,5
P235110,0
P234086,2
P235220,3
P237670,1
P235112,3
P239517,0
P235160,2
P235276,1
P235493,6
P234794,2
P237043,2
P234314,0
P234728,2
P234231,2
P234216,0
P234389,0
P234175,0
P234373,0
P237656,1
P235795,0
P239343,1
P238783,0
P234618,0
P235069,0
P234226,3
P235414,3
P235695,0
P235646,3
P235106,0
P235150,5
P234806,3
P235424,6
P234203,0
P235111,1
P234615,1
P234750,0
P234813,1
P234442,3
P235118,6
P239572,1
P234834,2
P234179,0
P234405,0
P239574,0
P237059,2
P235166,0
P235051,6
P235777,0
P234741,1
P234837,0
P239593,1
P234617,1
P235761,3
P235589,1
P234688,0
P236831,5
P234534,2
P235933,2
P235848,0
P235454,9
P235904,0
P235767,9
P234590,0
P238147,0
P235571,1
P234372,3
P234298,0
P235311,0
P236099,0
P235704,2
P235082,0
P235804,9
P234945,0
P237337,5
P235860,0
P235033,0
P235520,0
P240072,4
P234977,5
P240237,2
P235857,1
P235377,1
P239162,1
P235353,1
P238920,0
P235183,3
P235505,0
P234922,0
P234758,5
P236771,1
P235524,2
P235705,0
P238170,0
P239830,0
P234087,0
P237529,5
P235685,6
P235595,1
P237700,1
P237116,2
P235476,0
P235405,1
P235567,0
P237375,2
P235466,1
P234992,1
P234565,5
P235149,0
P238615,4
P238856,0
P234802,1
P235402,3
P237728,1
P238048,1
P240462,2
P235565,0
P235208,1
P235875,0
P237986,0
P235352,0
P235893,0
P235299,1
P235446,5
P237436,2
P234780,0
P235917,0
P235602,0
P236955,1
P240040,6
P239681,2
P238905,2
P234927,0
P234965,0
P235569,0
P240291,3
P235315,0
P238429,1
P235775,3
P234570,0
P234881,0
P234743,0
P235179,0
P235362,0
P234299,0
P234411,0
P234511,0
P234140,4
P235275,2
P235318,1
P235393,4
P238447,1
P237026,1
P236919,0
P235186,0
P238400,1
P235291,6
P234683,1
P234679,1
P235256,3
P235541,5
P236661,0
P234256,1
P239971,1
P235931,6
P239922,5
P235284,1
P235385,6
P235328,0
P234861,0
P239911,1
P234094,0
P234258,1
P235900,1
P234062,2
P234289,0
P234161,1
P240200,0
P238584,2
P239060,2
P236985,0
P235511,5
P235537,1
P235232,1
P239399,0
P239520,0
P235255,0
P239364,1
P237154,1
P235673,0
P234651,1
P234215,0
P236606,0
P235096,0
P235596,0
P239847,1
P240380,0
P238375,1
P234579,0
P235108,0
P234633,0
P234951,0
P237126,8
P235587,0
P235176,1
P235679,0
P237358,2
P235668,1
P240440,0
P240185,2
P235752,0
P235237,0
P234742,6
P238609,0
P240492,2
P240227,1
P234097,1
P235104,0
P234137,3
P234641,3
P235392,0
P237153,1
P235423,1
P234181,0
P235719,1
P234592,0
P234645,0
P234971,0
P235709,0
P236736,1
P234125,4
P238898,0
P235487,0
P239664,2
P235517,3
P239167,1
P240327,1
P235928,0
P235898,0
